,Hour,Min,Sec,BRA,Draw,ARG
158,0,57,46,4.1,3.3,1.95
159,0,57,56,4.1,3.3,1.95
160,0,58,7,4.1,3.3,1.95
161,0,58,17,4.1,3.3,1.95
162,0,58,28,4.1,3.3,1.95
163,0,58,38,4.1,3.3,1.95
164,0,58,49,4.2,3.3,1.95
165,0,59,0,4.2,3.3,1.95
166,0,59,10,4.2,3.3,1.95
167,0,59,21,4.2,3.3,1.95
168,0,59,31,4.2,3.3,1.95
169,0,59,42,4.2,3.3,1.95
170,0,59,53,4.2,3.3,1.95
171,1,0,3,4.2,3.3,1.95
172,1,0,14,4.2,3.3,1.95
173,1,0,25,4.2,3.3,1.95
174,1,0,36,4.2,3.3,1.95
175,1,0,47,4.2,3.3,1.95
176,1,0,57,4.3,3.25,1.95
177,1,1,8,4.3,3.25,1.95
178,1,1,18,4.3,3.25,1.95
179,1,1,29,4.3,3.25,1.95
180,1,1,39,4.3,3.25,1.95
181,1,1,50,4.3,3.3,1.95
182,1,2,0,4.3,3.25,1.95
183,1,2,11,4.3,3.25,1.95
184,1,2,22,4.4,3.25,1.9
185,1,2,32,4.4,3.25,1.9
186,1,2,43,4.4,3.25,1.9
187,1,2,53,4.4,3.25,1.9
188,1,3,4,4.2,3.25,1.95
189,1,3,14,4.2,3.25,1.95
190,1,3,25,4.3,3.25,1.95
191,1,3,36,4.3,3.25,1.95
192,1,3,47,4.3,3.25,1.95
193,1,3,58,4.3,3.25,1.95
194,1,4,8,4.3,3.25,1.95
195,1,4,19,4.3,3.25,1.95
196,1,4,29,4.3,3.25,1.95
197,1,4,40,4.4,3.2,1.95
198,1,4,51,4.3,3.25,1.95
199,1,5,1,4.4,3.2,1.95
200,1,5,11,4.7,3.3,1.85
201,1,5,22,4.7,3.3,1.85
202,1,5,33,4.7,3.3,1.85
203,1,5,43,4.7,3.3,1.85
204,1,5,54,4.7,3.3,1.85
205,1,6,4,4.7,3.3,1.85
206,1,6,15,4.7,3.3,1.85
207,1,6,26,4.7,3.3,1.85
208,1,6,37,4.8,3.25,1.85
209,1,6,47,4.8,3.25,1.85
210,1,6,58,4.8,3.25,1.85
211,1,7,8,4.8,3.25,1.85
212,1,7,19,4.8,3.3,1.85
213,1,7,29,4.8,3.3,1.85
214,1,7,40,4.9,3.25,1.85
215,1,7,51,4.9,3.25,1.85
216,1,8,2,4.9,3.25,1.85
217,1,8,12,4.9,3.25,1.85
218,1,8,23,4.9,3.3,1.85
219,1,8,34,14.0,6.4,1.2
220,1,8,44,14.0,6.4,1.2
221,1,8,55,14.0,6.4,1.2
222,1,9,6,14.0,6.4,1.2
223,1,9,16,14.5,6.4,1.2
224,1,9,27,14.5,6.4,1.2
225,1,9,38,12.5,5.8,1.25
226,1,9,49,12.5,5.8,1.25
227,1,10,0,12.5,5.8,1.25
228,1,10,10,12.5,5.8,1.25
