,Hour,Min,Sec,BRA,Draw,ARG
158,0,59,28,1.22,5.6,16.5
159,0,59,39,1.22,5.6,16.5
160,0,59,50,1.22,5.6,16.5
161,1,0,1,1.22,5.6,16.5
162,1,0,12,1.22,5.6,16.5
163,1,0,23,1.22,5.6,16.5
164,1,0,34,1.22,5.6,16.5
165,1,0,45,1.22,5.6,16.5
166,1,0,56,1.22,5.6,16.5
167,1,1,7,1.22,5.6,16.5
168,1,1,18,1.24,5.4,16.0
169,1,1,28,1.24,5.4,16.0
170,1,1,39,1.24,5.4,16.0
171,1,1,50,1.24,5.4,16.0
172,1,2,1,1.24,5.4,16.0
173,1,2,13,1.24,5.4,16.0
174,1,2,24,1.24,5.5,16.0
175,1,2,35,1.24,5.5,16.0
176,1,2,46,1.24,5.5,16.0
177,1,2,57,1.24,5.5,16.0
178,1,3,8,1.24,5.5,16.0
179,1,3,19,1.24,5.5,16.0
180,1,3,30,1.24,5.5,16.0
181,1,3,40,1.24,5.5,16.0
182,1,3,51,1.24,5.5,16.0
183,1,4,2,1.24,5.5,16.0
184,1,4,13,1.24,5.4,16.5
185,1,4,24,1.24,5.4,16.5
186,1,4,35,1.24,5.4,16.5
187,1,4,46,1.24,5.4,16.5
188,1,4,56,1.24,5.4,16.5
189,1,5,7,1.24,5.4,16.5
190,1,5,18,1.25,5.3,15.5
191,1,5,29,1.25,5.3,15.5
192,1,5,40,1.25,5.3,15.5
193,1,5,51,1.25,5.3,15.5
194,1,6,1,1.25,5.3,15.5
195,1,6,12,1.25,5.3,15.5
196,1,6,23,1.25,5.3,15.5
197,1,6,34,1.24,5.3,16.0
198,1,6,45,1.24,5.3,16.0
199,1,6,56,1.24,5.3,16.0
200,1,7,7,1.24,5.3,16.0
201,1,7,18,1.24,5.3,16.0
202,1,7,29,1.24,5.3,16.0
203,1,7,40,1.24,5.3,16.0
204,1,7,51,1.24,5.3,16.0
205,1,8,2,1.24,5.3,16.0
206,1,8,13,1.24,5.3,16.0
207,1,8,25,1.25,5.2,15.5
